id,name,parent_id/id
res_partner_category_ape_1431z,Fabrication d'articles chaussants à mailles,res_partner_category_ape
res_partner_category_ape_1439z,Fabrication d'autres articles à mailles,res_partner_category_ape
res_partner_category_ape_1511z,"""Apprêt et tannage des cuirs",res_partner_category_ape
res_partner_category_ape_1512z,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",res_partner_category_ape
res_partner_category_ape_1520z,Fabrication de chaussures,res_partner_category_ape
res_partner_category_ape_1610a,"Sciage et rabotage du bois, hors imprégnation",res_partner_category_ape
res_partner_category_ape_1610b,Imprégnation du bois,res_partner_category_ape
res_partner_category_ape_1621z,Fabrication de placage et de panneaux de bois,res_partner_category_ape
res_partner_category_ape_1622z,Fabrication de parquets assemblés,res_partner_category_ape
res_partner_category_ape_1623z,Fabrication de charpentes et d'autres menuiseries,res_partner_category_ape
res_partner_category_ape_1624z,Fabrication d'emballages en bois,res_partner_category_ape
res_partner_category_ape_1629z,"""Fabrication d'objets divers en bois",res_partner_category_ape
res_partner_category_ape_1711z,Fabrication de pâte à papier,res_partner_category_ape
res_partner_category_ape_1712z,Fabrication de papier et de carton,res_partner_category_ape
res_partner_category_ape_1721a,Fabrication de carton ondulé,res_partner_category_ape
res_partner_category_ape_1721b,Fabrication de cartonnages,res_partner_category_ape
res_partner_category_ape_1721c,Fabrication d'emballages en papier,res_partner_category_ape
res_partner_category_ape_1722z,Fabrication d'articles en papier à usage sanitaire ou domestique,res_partner_category_ape
res_partner_category_ape_1723z,Fabrication d'articles de papeterie,res_partner_category_ape
res_partner_category_ape_1724z,Fabrication de papiers peints,res_partner_category_ape
res_partner_category_ape_1729z,Fabrication d'autres articles en papier ou en carton,res_partner_category_ape
res_partner_category_ape_1811z,Imprimerie de journaux,res_partner_category_ape
res_partner_category_ape_1812z,Autre imprimerie (labeur),res_partner_category_ape
res_partner_category_ape_1813z,Activités de pré-presse,res_partner_category_ape
res_partner_category_ape_1814z,Reliure et activités connexes,res_partner_category_ape
res_partner_category_ape_1820z,Reproduction d'enregistrements,res_partner_category_ape
res_partner_category_ape_1910z,Cokéfaction,res_partner_category_ape
res_partner_category_ape_1920z,Raffinage du pétrole,res_partner_category_ape
res_partner_category_ape_2011z,Fabrication de gaz industriels,res_partner_category_ape
res_partner_category_ape_2012z,Fabrication de colorants et de pigments,res_partner_category_ape
res_partner_category_ape_2013a,Enrichissement et retraitement de matières nucléaires,res_partner_category_ape
res_partner_category_ape_2013b,Fabrication d'autres produits chimiques inorganiques de base n.c.a.,res_partner_category_ape
res_partner_category_ape_2014z,Fabrication d'autres produits chimiques organiques de base,res_partner_category_ape
res_partner_category_ape_2015z,Fabrication de produits azotés et d'engrais,res_partner_category_ape
res_partner_category_ape_2016z,Fabrication de matières plastiques de base,res_partner_category_ape
res_partner_category_ape_2017z,Fabrication de caoutchouc synthétique,res_partner_category_ape
res_partner_category_ape_2020z,Fabrication de pesticides et d'autres produits agrochimiques,res_partner_category_ape
res_partner_category_ape_2030z,"Fabrication de peintures, vernis, encres et mastics",res_partner_category_ape
res_partner_category_ape_2041z,"Fabrication de savons, détergents et produits d'entretien",res_partner_category_ape
res_partner_category_ape_2042z,Fabrication de parfums et de produits pour la toilette,res_partner_category_ape
res_partner_category_ape_2051z,Fabrication de produits explosifs,res_partner_category_ape
res_partner_category_ape_2052z,Fabrication de colles,res_partner_category_ape
